product_id,date,sales_quantity,stock_level,price,day_of_week,month,year,is_weekend,sales_7d_avg,stock_to_sales_ratio
PRD001,2024-05-22 09:12:32.027067,5,47,117.8,2,5,2024,0,5.0,7.833333333333333
PRD001,2024-05-23 09:12:32.027067,9,37,134.37,3,5,2024,0,7.0,3.7
PRD001,2024-05-24 09:12:32.027067,6,93,114.37,4,5,2024,0,6.666666666666667,13.285714285714286
PRD001,2024-05-25 09:12:32.027067,14,60,131.6,5,5,2024,1,8.5,4.0
PRD001,2024-05-26 09:12:32.027067,16,16,127.09,6,5,2024,1,10.0,0.9411764705882353
PRD001,2024-05-27 09:12:32.027067,7,26,116.85,0,5,2024,0,9.5,3.25
PRD001,2024-05-28 09:12:32.027067,10,49,119.26,1,5,2024,0,9.571428571428571,4.454545454545454
PRD001,2024-05-29 09:12:32.027067,8,44,115.71,2,5,2024,0,10.0,4.888888888888889
PRD001,2024-05-30 09:12:32.027067,10,12,135.01,3,5,2024,0,10.142857142857142,1.0909090909090908
PRD001,2024-05-31 09:12:32.027067,8,28,113.14,4,5,2024,0,10.428571428571429,3.111111111111111
PRD001,2024-06-01 09:12:32.027067,12,23,132.35,5,6,2024,1,10.142857142857142,1.7692307692307692
PRD001,2024-06-02 09:12:32.027067,8,68,117.99,6,6,2024,1,9.0,7.555555555555555
PRD001,2024-06-03 09:12:32.027067,6,33,113.52,0,6,2024,0,8.857142857142858,4.714285714285714
PRD001,2024-06-04 09:12:32.027067,7,74,134.31,1,6,2024,0,8.428571428571429,9.25
PRD001,2024-06-05 09:12:32.027067,6,34,128.83,2,6,2024,0,8.142857142857142,4.857142857142857
PRD001,2024-06-06 09:12:32.027067,5,59,113.33,3,6,2024,0,7.428571428571429,9.833333333333334
PRD001,2024-06-07 09:12:32.027067,8,82,120.29,4,6,2024,0,7.428571428571429,9.11111111111111
PRD001,2024-06-08 09:12:32.027067,13,31,121.26,5,6,2024,1,7.571428571428571,2.2142857142857144
PRD001,2024-06-09 09:12:32.027067,10,29,122.06,6,6,2024,1,7.857142857142857,2.6363636363636362
PRD001,2024-06-10 09:12:32.027067,7,77,134.27,0,6,2024,0,8.0,9.625
PRD001,2024-06-11 09:12:32.027067,6,10,116.2,1,6,2024,0,7.857142857142857,1.4285714285714286
PRD001,2024-06-12 09:12:32.027067,6,21,132.63,2,6,2024,0,7.857142857142857,3.0
PRD001,2024-06-13 09:12:32.027067,6,74,136.07,3,6,2024,0,8.0,10.571428571428571
PRD001,2024-06-14 09:12:32.027067,4,19,116.72,4,6,2024,0,7.428571428571429,3.8
PRD001,2024-06-15 09:12:32.027067,10,23,116.15,5,6,2024,1,7.0,2.090909090909091
PRD001,2024-06-16 09:12:32.027067,13,48,114.22,6,6,2024,1,7.428571428571429,3.4285714285714284
PRD001,2024-06-17 09:12:32.027067,4,62,122.29,0,6,2024,0,7.0,12.4
PRD001,2024-06-18 09:12:32.027067,4,91,130.89,1,6,2024,0,6.714285714285714,18.2
PRD001,2024-06-19 09:12:32.027067,4,26,124.15,2,6,2024,0,6.428571428571429,5.2
PRD001,2024-06-20 09:12:32.027067,4,68,113.15,3,6,2024,0,6.142857142857143,13.6
PRD001,2024-06-21 09:12:32.027067,8,67,114.25,4,6,2024,0,6.714285714285714,7.444444444444445
PRD001,2024-06-22 09:12:32.027067,11,67,119.25,5,6,2024,1,6.857142857142857,5.583333333333333
PRD001,2024-06-23 09:12:32.027067,10,42,132.47,6,6,2024,1,6.428571428571429,3.8181818181818183
PRD001,2024-06-24 09:12:32.027067,7,69,133.56,0,6,2024,0,6.857142857142857,8.625
PRD001,2024-06-25 09:12:32.027067,10,45,128.3,1,6,2024,0,7.714285714285714,4.090909090909091
PRD001,2024-06-26 09:12:32.027067,7,80,127.13,2,6,2024,0,8.142857142857142,10.0
PRD001,2024-06-27 09:12:32.027067,11,16,131.57,3,6,2024,0,9.142857142857142,1.3333333333333333
PRD001,2024-06-28 09:12:32.027067,11,25,126.39,4,6,2024,0,9.571428571428571,2.0833333333333335
PRD001,2024-06-29 09:12:32.027067,13,26,116.05,5,6,2024,1,9.857142857142858,1.8571428571428572
PRD001,2024-06-30 09:12:32.027067,12,21,135.09,6,6,2024,1,10.142857142857142,1.6153846153846154
PRD001,2024-07-01 09:12:32.027067,7,66,129.82,0,7,2024,0,10.142857142857142,8.25
PRD001,2024-07-02 09:12:32.027067,7,17,114.88,1,7,2024,0,9.714285714285714,2.125
PRD001,2024-07-03 09:12:32.027067,6,86,136.14,2,7,2024,0,9.571428571428571,12.285714285714286
PRD001,2024-07-04 09:12:32.027067,4,89,134.32,3,7,2024,0,8.571428571428571,17.8
PRD001,2024-07-05 09:12:32.027067,9,28,129.2,4,7,2024,0,8.285714285714286,2.8
PRD001,2024-07-06 09:12:32.027067,11,51,134.91,5,7,2024,1,8.0,4.25
PRD001,2024-07-07 09:12:32.027067,11,87,112.4,6,7,2024,1,7.857142857142857,7.25
PRD001,2024-07-08 09:12:32.027067,7,51,125.75,0,7,2024,0,7.857142857142857,6.375
PRD001,2024-07-09 09:12:32.027067,7,44,129.56,1,7,2024,0,7.857142857142857,5.5
PRD001,2024-07-10 09:12:32.027067,7,22,135.21,2,7,2024,0,8.0,2.75
PRD001,2024-07-11 09:12:32.027067,6,61,130.81,3,7,2024,0,8.285714285714286,8.714285714285714
PRD001,2024-07-12 09:12:32.027067,7,69,136.45,4,7,2024,0,8.0,8.625
PRD001,2024-07-13 09:12:32.027067,7,78,132.77,5,7,2024,1,7.428571428571429,9.75
PRD001,2024-07-14 09:12:32.027067,11,79,128.12,6,7,2024,1,7.428571428571429,6.583333333333333
PRD001,2024-07-15 09:12:32.027067,5,40,133.05,0,7,2024,0,7.142857142857143,6.666666666666667
PRD001,2024-07-16 09:12:32.027067,6,49,117.1,1,7,2024,0,7.0,7.0
PRD001,2024-07-17 09:12:32.027067,6,18,125.0,2,7,2024,0,6.857142857142857,2.5714285714285716
PRD001,2024-07-18 09:12:32.027067,8,55,127.28,3,7,2024,0,7.142857142857143,6.111111111111111
PRD001,2024-07-19 09:12:32.027067,5,44,124.5,4,7,2024,0,6.857142857142857,7.333333333333333
PRD001,2024-07-20 09:12:32.027067,7,35,120.03,5,7,2024,1,6.857142857142857,4.375
PRD001,2024-07-21 09:12:32.027067,11,37,117.4,6,7,2024,1,6.857142857142857,3.0833333333333335
PRD001,2024-07-22 09:12:32.027067,6,26,113.69,0,7,2024,0,7.0,3.7142857142857144
PRD001,2024-07-23 09:12:32.027067,8,76,125.41,1,7,2024,0,7.285714285714286,8.444444444444445
PRD001,2024-07-24 09:12:32.027067,5,18,118.11,2,7,2024,0,7.142857142857143,3.0
PRD001,2024-07-25 09:12:32.027067,7,61,126.06,3,7,2024,0,7.0,7.625
PRD001,2024-07-26 09:12:32.027067,11,32,121.05,4,7,2024,0,7.857142857142857,2.6666666666666665
PRD001,2024-07-27 09:12:32.027067,11,35,128.62,5,7,2024,1,8.428571428571429,2.9166666666666665
PRD001,2024-07-28 09:12:32.027067,10,53,117.87,6,7,2024,1,8.285714285714286,4.818181818181818
PRD001,2024-07-29 09:12:32.027067,8,29,112.69,0,7,2024,0,8.571428571428571,3.2222222222222223
PRD001,2024-07-30 09:12:32.027067,11,79,136.25,1,7,2024,0,9.0,6.583333333333333
PRD001,2024-07-31 09:12:32.027067,10,46,124.55,2,7,2024,0,9.714285714285714,4.181818181818182
PRD001,2024-08-01 09:12:32.027067,6,35,134.57,3,8,2024,0,9.571428571428571,5.0
PRD001,2024-08-02 09:12:32.027067,7,21,113.8,4,8,2024,0,9.0,2.625
PRD001,2024-08-03 09:12:32.027067,6,14,111.83,5,8,2024,1,8.285714285714286,2.0
PRD001,2024-08-04 09:12:32.027067,9,79,135.49,6,8,2024,1,8.142857142857142,7.9
PRD001,2024-08-05 09:12:32.027067,8,55,120.42,0,8,2024,0,8.142857142857142,6.111111111111111
PRD001,2024-08-06 09:12:32.027067,8,78,123.46,1,8,2024,0,7.714285714285714,8.666666666666666
PRD001,2024-08-07 09:12:32.027067,4,41,115.98,2,8,2024,0,6.857142857142857,8.2
